key	sci	ru	en	tr	ka	breadth	importance	dangerous	already_in
marasmius_oreades	Marasmius oreades	Опёнок луговой	Fairy ring mushroom	Mıhbaşı	ჯიმლა	narrow	5	no	AT,AU,BG,CA,CZ,DE,EE,ES,FR,GB,GE,HR,HU,MD,MX,NZ,PL,RO,RS,RU,SE,SK,TR,UA,US
mattirolomyces_terfezioides	Mattirolomyces terfezioides					narrow	4	no	HU
morchella_esculenta	Morchella esculenta	Сморчок	Morel	Kuzu göbeği		broad	5	no	BG,CA,CZ,DE,ES,FI,FR,GB,HR,HU,IT,LT,LV,MD,MX,NZ,PL,RO,RS,RU,SK,TR,UA,US
morchella_esculenta__2	Morchella esculenta	Сморчки			ხარისფაშვა	mid	5	no	AT,BY,GE,RS,SE,SI
morchella_septentrionalis	Morchella septentrionalis		Black morels			mid	5	no	US
morchella_steppicola	Morchella steppicola					narrow	4	no	RS
mycena_interrupta	Mycena interrupta		Pixie’s parasol			narrow	4	no	AU
mycoleptodonoides_aitchisonii	Mycoleptodonoides aitchisonii					narrow	4	no	JP
neoboletus_erythropus	Neoboletus erythropus	Дубовик			წითელფეხა მუხისძირა	narrow	5	no	AT,DE,FR,GE,MD,SI
neoboletus_luridiformis	Neoboletus luridiformis		Scarletina bolete			narrow	4	no	CZ,SE,SK
neoboletus_luridiformis__2	Neoboletus luridiformis					mid	3	no	MX
neolentinus_lepideus	Neolentinus lepideus					broad	3	no	MX
neolentiporus_maculatissimus	Neolentiporus maculatissimus		Austral dryad’s saddle			narrow	4	no	AU
nidula_niveotomentosa	Nidula niveotomentosa		Woolly bird’s nest fungus			narrow	3	no	NZ
omphalotus_illudens	Omphalotus illudens		Jack-o’-lantern			mid	5	yes	US
omphalotus_illudens__2	Omphalotus illudens		Jack-o’-lantern mushroom			mid	4	yes	CA
omphalotus_japonicus	Omphalotus japonicus					narrow	5	yes	JP
omphalotus_nidiformis	Omphalotus nidiformis		Ghost fungus			narrow	5	yes	AU
omphalotus_olearius	Omphalotus olearius			Ağulu mantar		narrow	5	yes	BG,ES,FR,HR,HU,IT,RS,SI,TR
panellus_serotinus	Panellus serotinus					narrow	4	no	KR
panus_fasciatus	Panus fasciatus		Hairy trumpet			narrow	4	no	AU
panus_rudis	Panus rudis				ყველის სოკო	narrow	4	no	GE
paralepistopsis_acromelalga	Paralepistopsis acromelalga					narrow	5	yes	JP
paxillus_involutus	Paxillus involutus	Свинушка тонкая	Brown roll-rim			narrow	5	yes	AT,BY,CZ,DE,EE,ES,FI,GB,HU,LT,LV,NZ,PL,RU,SE,SI,SK,UA,US
phaeolepiota_aurea	Phaeolepiota aurea	Феолепиота золотистая	Gold-cap			narrow	3	yes	EE
phallus_impudicus	Phallus impudicus	Весёлка обыкновенная	Stinkhorn			narrow	3	no	BY,GB,LT,UA
phallus_indusiatus	Phallus indusiatus		White crinoline stinkhorn			narrow	4	no	AU
phellodon_sinclairii	Phellodon sinclairii		Black tooth			narrow	3	no	NZ
pholiota_lubrica	Pholiota lubrica					narrow	4	no	JP
pholiota_microspora	Pholiota microspora					narrow	5	no	JP
piptoporus_australiensis	Piptoporus australiensis		Curry punk			narrow	4	no	AU
pleurocybella_porrigens	Pleurocybella porrigens		Angel wings			narrow	5	yes	CA,GB,JP,US
pleurotus_albidus	Pleurotus albidus					narrow	3	no	MX
pleurotus_australis	Pleurotus australis		Brown oyster			narrow	4	no	AU,NZ
pleurotus_citrinopileatus	Pleurotus citrinopileatus		Golden oyster mushrooms			narrow	3	no	JP,US
pleurotus_cornucopiae	Pleurotus cornucopiae				მაჩალო	narrow	3	no	GE
pleurotus_djamor	Pleurotus djamor		Pink oyster			narrow	5	no	MX
pleurotus_eryngii	Pleurotus eryngii			Körek		narrow	5	no	ES,HU,IT,KR,TR
pleurotus_opuntiae	Pleurotus opuntiae					narrow	4	no	MX
pleurotus_ostreatus	Pleurotus ostreatus	Вёшенка	Oyster mushroom	İstiridye mantarı	ხეთამხალი	narrow	5	no	AT,BG,BY,CA,CZ,DE,ES,FR,GB,GE,HR,HU,IT,JP,KR,LT,LV,MD,PL,RO,RS,RU,SE,SI,SK,TR,UA,US
pleurotus_parsonsiae	Pleurotus parsonsiae		Velvet oyster			narrow	4	no	NZ
pleurotus_pulmonarius	Pleurotus pulmonarius		Native phoenix oyster			narrow	4	no	NZ,SK
podaxis_pistillaris	Podaxis pistillaris		Black powderpuff			narrow	4	no	AU
podoserpula_pusio	Podoserpula pusio		Pagoda fungus			narrow	4	no	AU
polyozellus_multiplex	Polyozellus multiplex					narrow	4	no	KR
polyporus_squamosus	Polyporus squamosus		Dryad’s saddle			narrow	4	no	CA
pseudohydnum_gelatinosum	Pseudohydnum gelatinosum		Toothed jelly			narrow	3	no	SI
pseudosperma_rimosum	Pseudosperma rimosum	Волоконница трещиноватая				narrow	4	yes	MD
psilocybe_caerulescens	Psilocybe caerulescens					narrow	4	no	MX
psilocybe_cubensis	Psilocybe cubensis					narrow	4	no	MX
psilocybe_mexicana	Psilocybe mexicana					mid	4	no	MX
psilocybe_subaeruginosa	Psilocybe subaeruginosa		Gold tops			mid	4	yes	NZ
ramaria_aurea	Ramaria aurea					narrow	4	no	RO
ramaria_botrytis	Ramaria botrytis			Tellice		mid	5	no	JP,KR,RO,TR
ramaria_flava	Ramaria flava	Рогатики	Coral mushroom			broad	5	yes	MX,US
ramaria_flava__2	Ramaria flava				ყვითელი საჩეჩელა	narrow	4	no	GE
ramaria_formosa	Ramaria formosa					narrow	4	yes	KR,SI
rhodocollybia_butyracea	Rhodocollybia butyracea			Yağlı mantar		narrow	3	no	TR
rossbeevera_pachydermis	Rossbeevera pachydermis		Potato fungus			narrow	3	no	NZ
rubroboletus_satanas	Rubroboletus satanas	Сатанинский гриб	Devil’s bolete			narrow	5	yes	AT,BG,CZ,DE,ES,FR,HR,HU,IT,MD,PL,RS,RU,SI,SK,UA
rugiboletus_extremiorientalis	Rugiboletus extremiorientalis					narrow	3	no	JP
russula_adusta	Russula adusta				მურა სოკო	narrow	3	no	GE
russula_aeruginea	Russula aeruginea	Сыроежка зеленая			მტრედიო	narrow	4	no	EE,FI,GE,SE
russula_alutacea	Russula alutacea					narrow	3	no	RO
russula_aurea	Russula aurea	Сыроежка золотистая				narrow	3	no	RO
russula_brevipes	Russula brevipes					broad	5	no	MX
russula_chloroides	Russula chloroides			Kayışkıran		narrow	3	no	TR
russula_claroflava	Russula claroflava					narrow	3	no	FI,SE
russula_cyanoxantha	Russula cyanoxantha	Сыроежка	Quilted green russula			broad	5	no	BY,CA,EE,HU,LT,LV,MD,PL,RS,RU,SI,SK,UA,US
russula_cyanoxantha__2	Russula cyanoxantha		Charcoal burner		ღვინიო	narrow	4	no	AT,BG,CZ,DE,ES,FI,FR,GB,GE,IT,RO,SE
russula_decolorans	Russula decolorans	Сыроежка сереющая				narrow	4	no	EE,FI
russula_delica	Russula delica	Подгруздок белый		Güz kirmiti	ცხენისკბილა	narrow	4	no	BY,EE,GE,LT,RU,TR
russula_emetica	Russula emetica	Сыроежка рвотная			ბღავანა	narrow	4	yes	BG,DE,IT,LT,PL,RS,SI,UA
russula_foetens	Russula foetens	Валуй			მყრალი ხრაშუნა	narrow	4	no	BY,EE,GE,MD,RU
russula_heterophylla	Russula heterophylla					narrow	3	no	AT
russula_nigricans	Russula nigricans	Подгруздок чёрный				narrow	3	no	RU
russula_olivacea	Russula olivacea					narrow	3	no	IT
russula_paludosa	Russula paludosa	Болотная сыроежка				narrow	4	no	EE,FI,SE
russula_risigallina	Russula risigallina				ფქვილიო	narrow	3	no	GE
russula_rosea	Russula rosea				წითელკაბა	narrow	4	no	GE
russula_subnigricans	Russula subnigricans					mid	5	yes	JP,KR
russula_vesca	Russula vesca				დათუნია	narrow	4	no	AT,BG,GE,RO,RS,SE
russula_vinosa	Russula vinosa					narrow	3	no	FI
russula_virescens	Russula virescens				ხახვილო	narrow	5	no	BG,CZ,ES,FR,GE,IT,RO,RS,SK
russula_xerampelina	Russula xerampelina	Сыроежка буреющая				narrow	3	no	FI,SE
sanghuangporus_sanghuang	Sanghuangporus sanghuang					broad	4	no	KR
sarcodon_aspratus	Sarcodon aspratus					mid	5	no	JP,KR
sarcodon_imbricatus	Sarcodon imbricatus	Ежовик пёстрый		Balaban mantarı	ირემა-სოკო	narrow	3	no	SI,TR
sarcodon_squamosus	Sarcodon squamosus		Hawk’s wing			mid	4	no	CA,PL
sarcomyxa_edulis	Sarcomyxa edulis					narrow	5	no	JP
sarcoscypha_austriaca	Sarcoscypha austriaca	Саркосцифа	Scarlet elf cup			mid	3	no	GB
schizophyllum_commune	Schizophyllum commune		Splitgill			narrow	4	no	AU,MX
scleroderma_citrinum	Scleroderma citrinum	Ложнодождевик	Common earthball			narrow	4	yes	AT,GB,PL,SK,UA,US
scleroderma_sp	Scleroderma sp.		Earthball			broad	5	yes	AU,CA,DE,JP
sparassis_crispa	Sparassis crispa		Cauliflower fungus	Çam göbeği mantarı	ღაჟაჟო	narrow	5	no	AT,CZ,DE,GB,GE,PL,SE,SI,SK,TR
sparassis_latifolia	Sparassis latifolia					narrow	4	no	JP,KR
sparassis_spathulata	Sparassis spathulata		Cauliflower mushroom			broad	4	no	CA,US
stropharia_rugosoannulata	Stropharia rugosoannulata		Wine cap	Halkalı cücüle mantarı		narrow	3	no	NZ
suillellus_luridus	Suillellus luridus	Дубовик			მუხისძირა	narrow	4	no	AT,BY,CZ,DE,EE,GE,LT,LV,RO,RU,SE,SK,UA
suillus_bovinus	Suillus bovinus	Козляк				narrow	4	no	BY,JP,LT,PL,RU
suillus_granulatus	Suillus granulatus	Маслята			ხორკლებიანი დუმასოკო	narrow	5	no	CZ,DE,HU,MD,RO,RS,SE
suillus_grevillei	Suillus grevillei	Маслёнок лиственничный				narrow	4	no	AT,CZ,DE,JP,PL,RO
suillus_luteus	Suillus luteus	Маслята	Slippery Jack	Kaypak mantarı		narrow	5	no	AT,AU,BG,BY,CZ,DE,EE,ES,FI,FR,JP,LT,LV,NZ,PL,RO,SE,UA
suillus_luteus__2	Suillus luteus	Маслёнок	Slippery Jacks			broad	5	no	CA,HR,IT,KR,MX,RU,SI,SK
suillus_variegatus	Suillus variegatus	Маслёнок жёлто-бурый				narrow	4	no	AT,BY,FI,LT,LV,PL,SE
sutorius_venenatus	Sutorius venenatus					narrow	4	yes	JP
terfezia_boudieri	Terfezia boudieri			Keme		broad	5	no	ES,TR
trametes_versicolor	Trametes versicolor	Трутовик разноцветный	Turkey tail			narrow	4	no	CA,GB,NZ
tremella_fuciformis	Tremella fuciformis		White brain			narrow	4	no	AU
tremella_mesenterica	Tremella mesenterica		Yellow brain			narrow	4	no	AU,GB
trichoderma_cornu_damae	Trichoderma cornu-damae					narrow	5	yes	JP,KR
trichoglossum_sp	Trichoglossum sp.		Earth tongue			broad	3	no	NZ
tricholoma_anatolicum	Tricholoma anatolicum			Sedir mantarı		narrow	5	no	TR
tricholoma_bakamatsutake	Tricholoma bakamatsutake					narrow	4	no	KR
tricholoma_equestre	Tricholoma equestre	Зеленушка	Man on horseback			narrow	4	yes	BG,BY,CA,DE,EE,ES,LT,LV,PL,RU,UA
tricholoma_matsutake	Tricholoma matsutake	Мацутакэ				narrow	5	no	FI,JP,KR,SE
tricholoma_murrillianum	Tricholoma murrillianum		Matsutake			mid	5	no	CA,US
tricholoma_muscarium	Tricholoma muscarium					narrow	4	yes	KR
tricholoma_pardinum	Tricholoma pardinum					narrow	5	yes	AT,ES,IT,PL
tricholoma_populinum	Tricholoma populinum	Рядовка тополёвая	Cottonwood mushroom			narrow	4	no	UA
tricholoma_portentosum	Tricholoma portentosum	Рядовка серая			შავჩოხა	narrow	4	no	BG,BY,CZ,ES,FI,FR,GE,JP,LT,MD,PL,RU,SK,UA
tricholoma_sciodes	Tricholoma sciodes					mid	4	yes	IT
tricholoma_sejunctum	Tricholoma sejunctum	Рядовки				broad	3	no	BY
tricholoma_terreum	Tricholoma terreum	Рядовка землистая		Karaoğlan		narrow	4	no	BG,ES,FR,HU,IT,TR
tricholoma_ustale	Tricholoma ustale					narrow	5	yes	JP,KR
tuber_aestivum	Tuber aestivum					narrow	5	no	ES,HU,IT,RO,RS
tuber_aestivum__2	Tuber aestivum			Trüf mantarı		broad	5	no	HR
tuber_borchii	Tuber borchii					narrow	4	no	IT
tuber_macrosporum	Tuber macrosporum					narrow	4	no	RS
tuber_magnatum	Tuber magnatum					narrow	5	no	IT,RO
tuber_melanosporum	Tuber melanosporum					narrow	5	no	ES,FR,IT,RO
turbinellus_floccosus	Turbinellus floccosus					narrow	4	no	MX
turbinellus_kauffmanii	Turbinellus kauffmanii					narrow	3	no	MX
tylopilus_felleus	Tylopilus felleus	Желчный гриб	Bitter bolete			narrow	5	no	AT,BG,BY,CZ,DE,EE,FI,HU,IT,LT,LV,MD,PL,RU,SI,SK,UA
umbilicaria_esculenta	Umbilicaria esculenta					narrow	4	no	KR
ustilago_maydis	Ustilago maydis		Huitlacoche			narrow	5	no	MX
verpa_bohemica	Verpa bohemica	Сморчковая шапочка		Yalancı kuzugöbeği		narrow	4	no	HU,LV,TR
volvariella_bombycina	Volvariella bombycina	Вольвариелла шелковистая				narrow	5	no	MX
volvariella_volvacea	Volvariella volvacea		Paddy straw mushroom			narrow	4	yes	NZ
wolfiporia_cocos	Wolfiporia cocos					narrow	4	no	KR
xerocomellus_chrysenteron	Xerocomellus chrysenteron	Моховики				mid	5	no	BY,CZ,LV,MD,UA
xerocomus_subtomentosus	Xerocomus subtomentosus	Моховик				narrow	4	no	AT,HU,LT,PL,RO,RU,SK
xylaria_hypoxylon	Xylaria hypoxylon		Candlesnuff fungus			narrow	3	no	GB
