key;latin;russian;in_base_54;common_in_ru;breadth;importance;countries_listed;region;note
fistulina_hepatica;Fistulina hepatica;Печёночница обыкновенная;;;narrow;4.0;AL AU BA BE BG GB GE GR HR IE MD NL PT US;center south;"[Л] дубравы центра, Поволжья, Кавказа; ДВ (дуб монгольский) возможен — не подтверждено"
lentinus_sp;Lentinus sp.;Пилолистники;;;broad;3.0;MX UZ;base;"род/семейство Lentinus: представлен во всех шести регионах [Л]; оценка по латыни из файла, см. отчёт о расхождении ключа"
podaxis_pistillaris;Podaxis pistillaris;Подаксис пестичный;;;narrow;4.0;AU TM;unknown;"пустынный вид; находок на территории России не найдено (есть в Средней Азии)"
clitopilus_prunulus;Clitopilus prunulus;Подвишень;;;narrow;4.0;BE BY FR GE HR RS SI;base;[Л] общие сводки и определители, отдельно не перепроверялось
entoloma_clypeatum;Entoloma clypeatum;Подкарагачник;;;narrow;4.0;HR KZ RS;base;[Л] общие сводки и определители, отдельно не перепроверялось
lactifluus_volemus;Lactifluus volemus;Подмолочник;;;narrow;4.0;AT AZ BG BY DE JP LV PL RO RS SE SI SK TR UA;base;[Л] общие сводки и определители, отдельно не перепроверялось
leccinum_aurantiacum__2;Leccinum aurantiacum;Подосиновик;;;narrow;5.0;AM BG BY EE GE LT NO RO SE;base;"дубль строки leccinum_aurantiacum; оценка совпадает"
bovista_plumbea;Bovista plumbea;Порховка свинцово-серая;;;broad;3.0;AM MK TJ TM TR UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
terfezia_boudieri;Terfezia sp.;Пустынный трюфель;;;broad;5.0;AZ CY ES KZ PT TJ TM TR UZ;unknown;"род в России достоверно не подтверждён; найдены только данные по Турции и Средиземноморью"
ramaria_flava;Ramaria sp.;Рогатики;;;broad;5.0;MX US;base;"род/семейство Ramaria: представлен во всех шести регионах [Л]; оценка по латыни из файла, см. отчёт о расхождении ключа"
lactarius_deterrimus;Lactarius deterrimus;Рыжик еловый;;;narrow;4.0;AM AT BA CZ DE DK EE FI KG LU MK NO RS SE;base;[Л] общие сводки и определители, отдельно не перепроверялось
tricholoma_terreum;Tricholoma terreum;Рядовка землистая;;;narrow;4.0;AL AM BA BG CY ES FR GR HU IT ME MK PT TR;base;[Л] общие сводки и определители, отдельно не перепроверялось
tricholoma_populinum;Tricholoma populinum;Рядовка тополёвая;;;narrow;4.0;KG KZ TJ TM UA UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
collybia_nuda;Collybia nuda;Рядовка фиолетовая;;;narrow;4.0;AM AZ CA DE JP MD PL SK TM TR US;base;"тот же вид, что lepista_nuda (Collybia nuda — актуальное название); оценка совпадает"
tricholoma_sejunctum;Tricholoma sp.;Рядовки;;;broad;3.0;BY;base;"род/семейство Tricholoma: представлен во всех шести регионах [Л]; оценка по латыни из файла, см. отчёт о расхождении ключа"
sarcoscypha_austriaca;Sarcoscypha austriaca;Саркосцифа;;;mid;3.0;GB;base;"[Л] общие сводки и определители, отдельно не перепроверялось; в России основная часть находок рода относится к S. austriaca"
lepista_personata;Lepista personata;Синеножка;;;narrow;4.0;AM GB HU IE KG KZ MD TJ TM UZ;center south;"[Л] луга и степи центра и юга; Урал и Сибирь вероятны, не подтверждены"
morchella_esculenta__2;Morchella esculenta;Сморчки;;;mid;5.0;AT BY GE RS SE SI;base;[Л] общие сводки и определители, отдельно не перепроверялось
verpa_bohemica;Verpa bohemica;Сморчковая шапочка;;;narrow;4.0;HU KG LV TJ TM TR UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
morchella_steppicola;Morchella steppicola;Сморчок степной;;;narrow;4.0;KZ RS TJ TM UZ;center south;"[П] Аникин, 2015, Изв. Сарат. ун-та: находка в Саратовской обл., Красная книга Саратовской обл.; юг (Ростовская, Волгоградская обл.) [Л], не перепроверено; возможно Оренбургская обл. (urals) — не подтверждено"
gyromitra_esculenta;Gyromitra esculenta;Строчки;;;narrow;5.0;AL AM AT AZ BA BY CH CZ DE DK EE ES FI FR GR HU IT LT LU MK NO PL RO RS SE SK TM TR UA UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
russula_xerampelina;Russula xerampelina;Сыроежка буреющая;;;narrow;3.0;DK FI IS SE;base;[Л] общие сводки и определители, отдельно не перепроверялось
russula_aeruginea;Russula aeruginea;Сыроежка зеленая;;;narrow;4.0;EE FI GE IS NO SE;base;[Л] общие сводки и определители, отдельно не перепроверялось
russula_virescens;Russula virescens;Сыроежка зеленоватая;;;narrow;5.0;AL AZ BA BG CH CZ ES FR GE GR IT LU ME MK RO RS SK;base;"[Л] общие сводки и определители, отдельно не перепроверялось; европейская часть, Кавказ, Приморье; уверенность средняя"
russula_aurea;Russula aurea;Сыроежка золотистая;;;narrow;3.0;RO;nw center south;"[Л] уверенность средняя; Сибирь не подтверждена"
russula_emetica;Russula emetica;Сыроежка рвотная;;;narrow;4.0;BG CY DE IT LT ME PL RS SI UA;base;[Л] общие сводки и определители, отдельно не перепроверялось
russula_decolorans;Russula decolorans;Сыроежка сереющая;;;narrow;4.0;EE FI NO;base;[Л] общие сводки и определители, отдельно не перепроверялось
fomitopsis_betulina;Fomitopsis betulina;Трутовик берёзовый;;;narrow;4.0;CA GB UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
fomes_fomentarius;Fomes fomentarius;Трутовик настоящий;;;narrow;4.0;AM CA GB GE LT TJ UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
ganoderma_applanatum;Ganoderma applanatum;Трутовик плоский;;;narrow;4.0;CA CY UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
trametes_versicolor;Trametes versicolor;Трутовик разноцветный;;;narrow;4.0;CA GB NZ TJ UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
laetiporus_sulphureus;Laetiporus sulphureus;Трутовик серно-жёлтый;;;narrow;5.0;AL AM AZ BE BG CA CY CZ DK GB GR HR HU IE LT LU LV MD ME MK MX NL PL RS SK TJ TM TR UA UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
cerioporus_squamosus;Cerioporus squamosus;Трутовик чешуйчатый;;;narrow;4.0;AM AZ GB GE KG KZ MD NL RO RS SK TJ TM TR US UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
tuber_aestivum;Tuber aestivum;Трюфель летний;;;narrow;5.0;AL AZ BA CH ES GR HU IT ME MK RO RS;center south;"[П] Красная книга Московской обл. (упом. в Кр. кн. Вологодской обл.), ЭСБЕ: чернозёмная полоса; юг (Крым, Кавказ) [Л]"
phaeolepiota_aurea;Phaeolepiota aurea;Феолепиота золотистая;;;narrow;3.0;EE;base;"[Л] общие сводки и определители, отдельно не перепроверялось; редкий, отмечен от СЗ до ДВ"
chlorophyllum_brunneum;Chlorophyllum brunneum;Хлорофиллум бурый;;;narrow;5.0;AU CH HU TJ TM;unknown;"вид часто смешивают с C. rhacodes; отдельных данных по России не найдено"
amanita_caesarea;Amanita caesarea;Цезарский гриб;;;narrow;5.0;AL AM AZ BA BG CH CY ES FR GE GR HR IT MD ME MK PT RO RS TR;south;"[П] БРЭ, «Цезарский гриб»: Северный Кавказ, Краснодарский край; на ДВ близкий вид A. caesareoides (Коваленко, 1979, трактует как один вид — спорно)"
lactarius_necator;Lactarius necator;Чёрный груздь;;;narrow;4.0;BY EE LV;base;"синоним Lactarius turpis (строка lactarius_turpis); оценка совпадает"
agaricus_bitorquis;Agaricus bitorquis;Шампиньон двукольцовый;;;narrow;3.0;CY EE NL TJ TM UZ;base;"[Л] общие сводки и определители, отдельно не перепроверялось; чаще в населённых пунктах; центр, юг, Урал, Сибирь; уверенность средняя"
agaricus_bisporus;Agaricus bisporus;Шампиньон двуспоровый;;;narrow;5.0;KR TJ;unknown;дикие находки в России отмечаются, но надёжной региональной сводки не нашлось
agaricus_xanthodermus;Agaricus xanthodermus;Шампиньон желтокожий;;;narrow;5.0;AL AM AT AU AZ BA BE BG CH CY CZ DE DK ES FR GB GR HR HU IE IT KG KZ LU MD ME MK NL NO PL PT RO RS SI SK TJ TM UA UZ;center south;"[Л] уверенность низкая; в основном парки и сады европейской части"
agaricus_macrosporus;Agaricus macrosporus;Шампиньон крупноспоровый;;;narrow;5.0;ME MK RS TM;unknown;отдельных данных по России не найдено (синонимика с A. urinascens)
agaricus_campestris__2;Agaricus campestris;Шампиньон обыкновенный;;;narrow;5.0;AL AT AU BA BE CH CY CZ DE DK ES FR GB GR HR IE IS IT LU ME MK NL NO NZ PT RO TM TR;base;[Л] общие сводки и определители, отдельно не перепроверялось
agaricus_sylvaticus;Agaricus sylvaticus;Шампиньон перелесковый;;;narrow;4.0;BA EE GE KG RO TJ;base;[Л] общие сводки и определители, отдельно не перепроверялось
agaricus_arvensis;Agaricus arvensis;Шампиньон полевой;;;narrow;5.0;AM BA BE CY DK FI FR GB GR IE IS KG KR LU NL NO PT RO RS SE TJ TM;base;[Л] общие сводки и определители, отдельно не перепроверялось
schizophyllum_commune;Schizophyllum commune;Щелелистник обыкновенный;;;narrow;4.0;AU MX TM UZ;base;[Л] общие сводки и определители, отдельно не перепроверялось
entoloma_rhodopolium;Entoloma rhodopolium;Энтолома серо-розовая;;;narrow;5.0;JP KR MD;base;[Л] общие сводки и определители, отдельно не перепроверялось
entoloma_sinuatum;Entoloma sinuatum;Энтолома ядовитая;;;narrow;5.0;AL AM AZ BA BE BG CH DK ES FR GR HU IT KG KZ LU MD ME MK NO PT RO RS SI TJ TM TR UZ;base;"[Л] общие сводки и определители, отдельно не перепроверялось; чаще в широколиственных лесах; уверенность средняя"
