key	sci	en	de	fr	nl	el	es	it	sv	hr	sr	bs	bg	tr	sq	breadth	importance	dangerous	already_in
hygrophorus_eburneus	Hygrophorus eburneus												Седефена гъба			narrow	3	no	BG
hygrophorus_gliocyclus	Hygrophorus gliocyclus						Dulce									mid	3	no	MX
hygrophorus_hypothejus	Hygrophorus hypothejus												Кехлибарена гъба			narrow	3	no	BG
hygrophorus_latitabundus	Hygrophorus latitabundus															narrow	4	no	ES
hygrophorus_marzuolus	Hygrophorus marzuolus		Märzschneckling	Hygrophore de mars		Μαρτούλι	Seta de marzo	Marzuolo			Martovka	Martovka				narrow	4	no	BA,CH,ES,GR,IT
hygrophorus_russula	Hygrophorus russula						Higróforo escarlata				Medenka					narrow	4	no	ES,JP,RS
hypholoma_capnoides	Hypholoma capnoides		Rauchblättriger Schwefelkopf	Hypholome doux					Rökslöjskivling	Sivolisna sumporača						narrow	4	no	DE,DK,LU,NO
hypholoma_fasciculare	Hypholoma fasciculare	Sulphur tuft	Grünblättriger Schwefelkopf	Hypholome en touffes	Gewone zwavelkop	Υφόλωμα το θυσανώδες	Hifoloma de láminas verdes	Falso chiodino	Svavelgul slöjskivling	Prava sumporača		Sumporača	Отровна пънчушка			narrow	5	yes	AL,AM,AT,AZ,BA,BE,BG,BY,CA,CH,CZ,DE,DK,FI,GE,GR,HR,IT,JP,KG,KR,KZ,LT,LU,MD,NL,NO,PL,PT,RO,RU,SI,SK,TJ,UA,UZ
hypholoma_lateritium	Hypholoma lateritium															narrow	4	yes	GE,JP,KR,RU
hypomyces_lactifluorum	Hypomyces lactifluorum	Lobster mushroom		Champignon homard			Barroso									narrow	5	no	CA,MX,US
hypsizygus_marmoreus	Hypsizygus marmoreus															narrow	4	no	KR
hypsizygus_ulmarius	Hypsizygus ulmarius	Elm oyster		Pleurote de l’orme						Obična stablarica						narrow	4	no	CA
ileodictyon_cibarium	Ileodictyon cibarium	Basket fungus														narrow	5	no	AU,NZ
ileodictyon_gracile	Ileodictyon gracile	Smooth cage														narrow	4	no	AU
imleria_badia	Imleria badia	Bay bolete	Marone	Bolet bai	Kastanjeboleet		Boleto bayo	Boleto baio	Brunsopp			Smeđi vrganj		Ayıca		narrow	5	no	AT,AZ,BA,BE,BY,CH,CZ,DE,DK,ES,FR,GB,HU,LT,LU,LV,NL,NO,PL,PT,RO,RU,SE,SI,SK,TR,UA
infundibulicybe_geotropa	Infundibulicybe geotropa			Clitocybe géotrope		Χωνιοκύβη η γεώτροπη	Platera	Cimballo		Velika martinčica	Martinčica			Ebişke		narrow	4	no	AL,CY,ES,FR,GR,HR,IT,TJ,TM,TR,UZ
infundibulicybe_gibba	Infundibulicybe gibba									Mala martinčica						narrow	3	no	HR
inocybe_erubescens	Inocybe erubescens															narrow	5	yes	LT
inocybe_sp	Inocybe sp.															broad	4	yes	CY,HU,IS
inonotus_obliquus	Inonotus obliquus	Chaga		Chaga					Sprängticka							narrow	4	no	BY,CA,KZ,LT,RU
inosperma_adaequatum	Inosperma adaequatum															narrow	4	yes	MD
inosperma_erubescens	Inosperma erubescens		Ziegelroter Risspilz	Inocybe de Patouillard	Giftige vezelkop		Inocibe de Patouillard		Gifttråding							narrow	5	yes	AM,BA,BE,CH,ES,KG,KZ,LU,LV,PT,SI,SK,TJ,TM,UZ
kuehneromyces_mutabilis	Kuehneromyces mutabilis		Stockschwämmchen	Pholiote changeante	Stobbezwammetje			Famigliola gialla	Föränderlig tofsskivling	Obična panjevčica		Panjevčica				narrow	4	no	AT,BA,BE,BY,CH,CZ,DE,DK,EE,FI,HR,IS,KZ,LT,LU,LV,NL,NO,PL,RU,SE,SI,UA
laccaria_amethystina	Laccaria amethystina	Amethyst deceiver	Violetter Lacktrichterling				Xocoyol morado			Ljubičasta lakovka						narrow	3	no	GB,HR
laccaria_laccata	Laccaria laccata						Chocuyul			Obična lakovka						narrow	4	no	HR,MX
laccaria_ochropurpurea	Laccaria ochropurpurea	Purple laccaria														narrow	2	no	US
laccocephalum_hartmannii	Laccocephalum hartmannii	Chestnut polypore														narrow	4	no	AU
laccocephalum_mylittae	Laccocephalum mylittae	Native bread														narrow	4	no	AU
lactarius_camphoratus	Lactarius camphoratus								Kamferriska							narrow	3	no	FI
lactarius_deliciosus	Lactarius deliciosus	Saffron milk cap	Echter Reizker	Lactaire délicieux	Smakelijke melkzwam	Πευκίτης	Chilpan	Sanguinelli	Tallblodriska	Rujnice	Rujnice	Rujnica	Рижика	Kanlıca		mid	5	no	AL,AM,AT,AU,AZ,BA,BE,BG,BY,CH,CY,CZ,DE,EE,ES,FR,GE,GR,HR,HU,IT,KG,KZ,LT,LV,MD,MX,NO,NZ,PL,PT,RO,RS,RU,SE,SI,SK,TR,UA,UZ
lactarius_deterrimus	Lactarius deterrimus		Fichten-Reizker	Lactaire de l’épicéa					Granblodriska		Smrekina mlečnica	Smrčeva rujnica				narrow	4	no	AM,AT,BA,CZ,DE,DK,FI,KG,LU,NO,RS,SE
lactarius_flexuosus	Lactarius flexuosus															narrow	3	no	RU
lactarius_hatsudake	Lactarius hatsudake															narrow	4	no	JP
lactarius_helvus	Lactarius helvus	Maple-scented milkcap		Lactaire à odeur d’érable					Lakritsriska							narrow	3	yes	EE,FI,NO
lactarius_indigo	Lactarius indigo	Indigo milk cap					Añil									mid	5	no	MX,US
lactarius_laeticolorus	Lactarius laeticolorus															narrow	4	no	JP
lactarius_lignyotus	Lactarius lignyotus								Sotriska							narrow	3	no	FI
lactarius_necator	Lactarius necator															narrow	4	yes	BY,EE,LV
lactarius_pubescens	Lactarius pubescens															narrow	3	no	KZ,RU
lactarius_pyrogalus	Lactarius pyrogalus													Fındık mantarı		mid	4	no	TR
lactarius_repraesentaneus	Lactarius repraesentaneus								Gulriska							narrow	3	no	FI
lactarius_resimus	Lactarius resimus															mid	5	no	BY,KZ,RU,UA
lactarius_rubidus	Lactarius rubidus	Candy cap														mid	4	no	US
lactarius_rufus	Lactarius rufus								Pepparriska							narrow	5	no	BY,EE,FI,LV,RU,SE
lactarius_salmonicolor	Lactarius salmonicolor		Lachsreizker	Lactaire saumon		Λακτάριος ο σολομόχρωμος					Jelova mlečnica					narrow	4	no	AT,FR,GR,RS
lactarius_sanguifluus	Lactarius sanguifluus			Lactaire sanguin		Λακτάριος ο αιμορροών	Níscalo vinoso									mid	5	no	AL,ES,FR,GR,PT
lactarius_scrobiculatus	Lactarius scrobiculatus															narrow	3	no	GE,KZ,LV,RU
lactarius_semisanguifluus	Lactarius semisanguifluus										Jelina rujnica					narrow	3	no	RS
lactarius_thyinos	Lactarius thyinos	Orange milkcap		Lactaire saumoné						Mliječnice						broad	5	no	CA,EE,US
lactarius_torminosus	Lactarius torminosus					Μαλλίτσης	Falso níscalo	Lattario delle coliche	Skäggriska		Brezova mlečnica					narrow	4	yes	AZ,BY,CY,FI,GE,IS,IT,KG,KZ,LT,LV,PL,RS,RU,SI,UA
lactarius_trivialis	Lactarius trivialis								Skogsriska							narrow	5	no	BY,FI,LV,NO,RU
lactarius_turpis	Lactarius turpis								Svartriska							narrow	4	no	FI,KZ,LT,RU
lactarius_vinosus	Lactarius vinosus													Kara kanlıca		narrow	4	no	TR
lactarius_volemus	Lactarius volemus															narrow	4	no	KR
lactifluus_piperatus	Lactifluus piperatus										Paprenjače	Paprenjača	Лютива млечница	Acı		narrow	4	no	AL,AM,AZ,BA,BG,GE,HU,KG,LT,MD,RO,RS,TR,UA
lactifluus_vellereus	Lactifluus vellereus												Вълнеста млечница	Acı mantar		narrow	4	no	AM,BY,GE,KG,LV,RU,TR
lactifluus_volemus	Lactifluus volemus		Brätling						Mandelriska		Presna mlečnica		Хлебенка	Geyik tirmiti		narrow	4	no	AT,AZ,BG,BY,DE,JP,LV,PL,RO,RS,SE,SI,SK,TR,UA
laetiporus_cincinnatus	Laetiporus cincinnatus	Chicken of the woods														mid	5	no	US
laetiporus_portentosus	Laetiporus portentosus	Bracket fungus														narrow	4	no	NZ
laetiporus_sulphureus	Laetiporus sulphureus	Chicken of the woods	Schwefelporling	Polypore soufré	Zwavelzwam	Κοτόπουλο του δάσους			Svavelticka	Žuti kruh	Šumsko pile		Сярна гъба	Kiraz mantarı		narrow	5	no	AL,AM,AZ,BE,BG,CA,CY,CZ,DK,GB,GR,HR,HU,LT,LU,LV,MD,MX,NL,PL,RS,SK,TJ,TM,TR,UA,UZ
lampteromyces_japonicus	Lampteromyces japonicus															narrow	5	yes	KR
leccinellum_pseudoscabrum	Leccinellum pseudoscabrum		Hainbuchenröhrling	Bolet des charmes									Габърова гъба			narrow	4	no	AM,AZ,BG,HU,LU,PL
leccinum_aurantiacum	Leccinum aurantiacum	Rough-stemmed boletes	Rotkappe	Bolets rugueux	Rosse populierboleet			Porcinelli		Djedovi						mid	5	no	AT,BE,CA,CH,HR,IT,KR,KZ,LU,LV,MD,NL,PL,RU,SK,UA
leccinum_aurantiacum__2	Leccinum aurantiacum								Aspsopp				Червена брезовка			narrow	5	no	AM,BG,BY,EE,GE,LT,NO,RO,SE
leccinum_leucopodium	Leccinum leucopodium		Rotkappe													mid	5	no	DE
leccinum_pseudoscabrum	Leccinum pseudoscabrum															narrow	4	no	CZ
leccinum_rufum	Leccinum rufum															mid	5	no	CZ
leccinum_scabrum	Leccinum scabrum	Birch bolete	Birkenpilz	Bolet rude	Gewone berkenboleet			Porcinello grigio	Björksopp				Обикновена брезовка			mid	5	no	AM,AT,BE,BG,BY,CH,CZ,DE,DK,FI,FR,GE,IS,KG,KZ,LT,LU,LV,MD,NL,NO,NZ,PL,RO,RU,SE,SI,SK,UA
leccinum_versipelle	Leccinum versipelle								Tegelsopp							narrow	5	no	CZ,DK,FI,IS,NO,SE
lentinula_edodes	Lentinula edodes	Shiitake												Meşe		narrow	5	no	JP,KR
lentinula_novae_zelandiae	Lentinula novae-zelandiae	Native shiitake														narrow	4	no	NZ
lentinus_crinitus	Lentinus crinitus															narrow	3	no	MX
lentinus_sp	Lentinus sp.															broad	3	no	MX,UZ
lepiota_brunneoincarnata	Lepiota brunneoincarnata		Fleischbrauner Schirmling	Lépiote brun rose										Yalancı dede mantarı		narrow	5	yes	AL,AM,AZ,CH,CY,FR,GR,KG,KZ,NO,PT,TJ,TM,TR,UZ
lepiota_cristata	Lepiota cristata															narrow	5	yes	MD,SI,TM,UZ
lepiota_subincarnata	Lepiota subincarnata	Deadly dapperling		Lépiotes mortelles				Piccole mazze di tamburo								mid	5	yes	CA,IT
lepista_nuda	Lepista nuda	Wood blewit	Violetter Rötelritterling	Pied bleu	Paarse schijnridderzwam	Λεπίστα η γυμνή	Pie azul	Agarico violetto	Blåmusseron	Modrikača	Modrikača	Modrikača		Mavi cincile		narrow	5	no	AL,AU,BA,BE,BY,CH,CY,CZ,DK,FR,GB,GR,HR,HU,KG,LU,NL,NO,PT,RU,SI,TJ,UA,UZ
lepista_personata	Lepista personata	Field blewit														narrow	4	no	AM,GB,HU,KG,KZ,MD,TJ,TM,UZ
leratiomyces_erythrocephalus	Leratiomyces erythrocephalus	Scarlet pouch														narrow	3	no	NZ
leucoagaricus_americanus	Leucoagaricus americanus	Reddening lepiota														narrow	3	no	US
leucocoprinus_leucothites	Leucocoprinus leucothites															narrow	3	no	RO
leucocybe_candicans	Leucocybe candicans															narrow	5	yes	AZ,KG,KZ,MD
lycoperdon_perlatum	Lycoperdon perlatum	Puffball	Stäublinge und Boviste	Vesse-de-loup	Parelstuifzwam					Puhare		Puhara			Pufka	broad	4	no	AL,AM,AZ,BA,BY,CA,CY,GB,HR,IS,KG,KZ,LV,NL,RU,TJ,TM,UZ
lycoperdon_perlatum__2	Lycoperdon perlatum		Flaschen-Stäubling	Vesse de loup perlée							Tikvasta puhara					narrow	4	no	CZ,KR,LT,LU,SI,UA
lyophyllum_decastes	Lyophyllum decastes	Fried chicken mushroom	Büscheliger Rasling	Lyophylle décasté			Cholete	Agarico aggregato		Obična kostanjevčica				Küme cincile mantarı		narrow	5	no	CH,JP,MX
lyophyllum_fumosum	Lyophyllum fumosum															narrow	4	no	IS,JP
lyophyllum_shimeji	Lyophyllum shimeji															narrow	5	no	JP
macrolepiota_mastoidea	Macrolepiota mastoidea										Sisasta sunčanica					narrow	4	no	PT,RS
macrolepiota_procera	Macrolepiota procera	Parasol	Parasol	Coulemelle	Grote parasolzwam	Ζαρκαδίσιο	Jongo de culebra	Mazza di tamburo	Stolt fjällskivling	Sunčanice	Sunčanica	Velika sunčanica	Сърнела	Şemsiye mantarı	Kërpudha e çadrës	narrow	5	no	AL,AM,AT,AZ,BA,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FR,GB,GE,GR,HR,HU,IT,KG,KR,KZ,LT,LU,LV,MD,MX,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TJ,TM,TR,UA,US,UZ
marasmius_elegans	Marasmius elegans	Velvet parachute														narrow	4	no	AU
marasmius_oreades	Marasmius oreades	Fairy ring mushroom	Nelkenschwindling	Marasme des Oréades	Weidekringzwam	Μαράσμιος ο ορειάδης	Corralitos	Gambesecche	Nejlikbrosking	Vilin klinčac	Vilin klinčić	Vilinski klinčić	Челядинка	Mıhbaşı		narrow	5	no	AL,AM,AT,AU,AZ,BA,BE,BG,CA,CH,CY,CZ,DE,DK,EE,ES,FR,GB,GE,GR,HR,HU,KG,KZ,LU,MD,MX,NL,NO,NZ,PL,RO,RS,RU,SE,SK,TJ,TM,TR,UA,US,UZ
mattirolomyces_terfezioides	Mattirolomyces terfezioides															narrow	4	no	HU
morchella_esculenta	Morchella esculenta	Morel	Morchel	Morilles	Gewone morielje	Μορχέλα	Colmenilla	Spugnole	Toppmurkla	Smrčci	Kupasti smrčak	Smrčak	Смръчкула	Kuzu göbeği		broad	5	no	AL,AM,AZ,BA,BE,BG,CA,CH,CY,CZ,DE,ES,FI,FR,GB,GR,HR,HU,IS,IT,KG,KZ,LT,LU,LV,MD,MX,NL,NO,NZ,PL,PT,RO,RS,RU,SK,TJ,TM,TR,UA,US,UZ
morchella_esculenta__2	Morchella esculenta		Speisemorchel						Rund toppmurkla		Debelonogi smrčak					mid	5	no	AT,BY,GE,RS,SE,SI
morchella_septentrionalis	Morchella septentrionalis	Black morels														mid	5	no	US
morchella_steppicola	Morchella steppicola										Stepski smrčak					narrow	4	no	KZ,RS,TJ,TM,UZ
mycena_interrupta	Mycena interrupta	Pixie’s parasol														narrow	4	no	AU
mycoleptodonoides_aitchisonii	Mycoleptodonoides aitchisonii															narrow	4	no	JP
neoboletus_erythropus	Neoboletus erythropus		Flockenstieliger Hexenröhrling	Bolet à pied rouge	Gewone heksenboleet			Boleto dal piede rosso								narrow	5	no	AT,BE,CH,DE,DK,FR,GE,LU,MD,NL,SI
neoboletus_luridiformis	Neoboletus luridiformis	Scarletina bolete							Blodsopp							narrow	4	no	CZ,SE,SK
neoboletus_luridiformis__2	Neoboletus luridiformis						Galambos									mid	3	no	MX
neolentinus_lepideus	Neolentinus lepideus															broad	3	no	MX
neolentiporus_maculatissimus	Neolentiporus maculatissimus	Austral dryad’s saddle														narrow	4	no	AU
nidula_niveotomentosa	Nidula niveotomentosa	Woolly bird’s nest fungus														narrow	3	no	NZ
omphalotus_illudens	Omphalotus illudens	Jack-o’-lantern														mid	5	yes	US
omphalotus_illudens__2	Omphalotus illudens	Jack-o’-lantern mushroom		Clitocybe lumineux												mid	4	yes	CA
omphalotus_japonicus	Omphalotus japonicus															narrow	5	yes	JP
omphalotus_nidiformis	Omphalotus nidiformis	Ghost fungus														narrow	5	yes	AU
omphalotus_olearius	Omphalotus olearius		Ölbaumtrichterling	Faux clitocybe de l’olivier		Ομφαλωτός των ελαιώνων	Seta de olivo	Falso gialletto		Zavodnica	Zavodnica		Горчива миризливка	Ağulu mantar		narrow	5	yes	AL,AM,BA,BG,CH,CY,ES,FR,GR,HR,HU,IT,PT,RS,SI,TJ,TR
panellus_serotinus	Panellus serotinus															narrow	4	no	KR
panus_fasciatus	Panus fasciatus	Hairy trumpet														narrow	4	no	AU
panus_rudis	Panus rudis															narrow	4	no	GE
paralepistopsis_acromelalga	Paralepistopsis acromelalga															narrow	5	yes	JP
paxillus_involutus	Paxillus involutus	Brown roll-rim	Kahler Krempling	Paxille enroulé	Gewone krulzoom	Πάξιλλος	Paxilo enrollado	Agarico accartocciato	Pluggskivling							narrow	5	yes	AT,BE,BY,CH,CZ,DE,DK,EE,ES,FI,GB,GR,HU,IS,KG,KZ,LT,LU,LV,NL,NO,NZ,PL,PT,RU,SE,SI,SK,UA,US
phaeolepiota_aurea	Phaeolepiota aurea	Gold-cap		Phéolépiote dorée												narrow	3	yes	EE
phallus_impudicus	Phallus impudicus	Stinkhorn	Stinkmorchel		Grote stinkzwam						Smrdljivi pevac					narrow	3	no	BY,GB,LT,NL,UA
phallus_indusiatus	Phallus indusiatus	White crinoline stinkhorn														narrow	4	no	AU
phellodon_sinclairii	Phellodon sinclairii	Black tooth														narrow	3	no	NZ
pholiota_lubrica	Pholiota lubrica															narrow	4	no	JP
pholiota_microspora	Pholiota microspora															narrow	5	no	JP
piptoporus_australiensis	Piptoporus australiensis	Curry punk														narrow	4	no	AU
pleurocybella_porrigens	Pleurocybella porrigens	Angel wings		Pleurote étalé												narrow	5	yes	CA,GB,JP,US
pleurotus_albidus	Pleurotus albidus						Hongo blanco de pata									narrow	3	no	MX
pleurotus_australis	Pleurotus australis	Brown oyster														narrow	4	no	AU,NZ
pleurotus_citrinopileatus	Pleurotus citrinopileatus	Golden oyster mushrooms														narrow	3	no	JP,US
pleurotus_cornucopiae	Pleurotus cornucopiae															narrow	3	no	GE,TJ,TM
pleurotus_djamor	Pleurotus djamor	Pink oyster					Orejas de ochote									narrow	5	no	MX
pleurotus_eryngii	Pleurotus eryngii			Pleurote du panicaut		Αγκαθίτης	Seta de cardo	Cardoncello						Körek		narrow	5	no	AL,AM,AZ,CY,ES,GR,HU,IT,KG,KR,KZ,TJ,TM,TR,UZ
pleurotus_opuntiae	Pleurotus opuntiae						Oreja de nopal									narrow	4	no	MX
pleurotus_ostreatus	Pleurotus ostreatus	Oyster mushroom	Austernseitling	Pleurote en huître	Gewone oesterzwam	Πλευρώτους	Seta de ostra	Gelone	Ostronmussling	Bukovača	Bukovača	Bukovača	Кладница	İstiridye mantarı		narrow	5	no	AL,AM,AT,AZ,BA,BE,BG,BY,CA,CH,CY,CZ,DE,DK,ES,FR,GB,GE,GR,HR,HU,IT,JP,KG,KR,KZ,LT,LU,LV,MD,NL,NO,PL,PT,RO,RS,RU,SE,SI,SK,TJ,TM,TR,UA,US,UZ
pleurotus_parsonsiae	Pleurotus parsonsiae	Velvet oyster														narrow	4	no	NZ
pleurotus_pulmonarius	Pleurotus pulmonarius	Native phoenix oyster														narrow	4	no	NZ,SK
podaxis_pistillaris	Podaxis pistillaris	Black powderpuff														narrow	4	no	AU,TM
podoserpula_pusio	Podoserpula pusio	Pagoda fungus														narrow	4	no	AU
polyozellus_multiplex	Polyozellus multiplex															narrow	4	no	KR
polyporus_squamosus	Polyporus squamosus	Dryad’s saddle	Schuppiger Porling	Polypore écailleux												narrow	4	no	CA
pseudohydnum_gelatinosum	Pseudohydnum gelatinosum	Toothed jelly														narrow	3	no	SI
pseudosperma_rimosum	Pseudosperma rimosum				Geelbruine spleetvezelkop											narrow	4	yes	AZ,MD,NL,TJ,TM
psilocybe_caerulescens	Psilocybe caerulescens						Derrumbe									narrow	4	no	MX
psilocybe_cubensis	Psilocybe cubensis						San Isidro									narrow	4	no	MX
psilocybe_mexicana	Psilocybe mexicana						Pajarito									mid	4	no	MX
psilocybe_subaeruginosa	Psilocybe subaeruginosa	Gold tops														mid	4	yes	NZ
ramaria_aurea	Ramaria aurea															narrow	4	no	RO
ramaria_botrytis	Ramaria botrytis			Clavaire choux-fleur										Tellice		mid	5	no	JP,KR,RO,TR
ramaria_flava	Ramaria flava	Coral mushroom	Bärentatze				Escobeta	Manine								broad	5	yes	MX,US
ramaria_flava__2	Ramaria flava															narrow	4	no	GE
ramaria_formosa	Ramaria formosa															narrow	4	yes	KR,SI
rhodocollybia_butyracea	Rhodocollybia butyracea													Yağlı mantar		narrow	3	no	TR
rossbeevera_pachydermis	Rossbeevera pachydermis	Potato fungus														narrow	3	no	NZ
rubroboletus_satanas	Rubroboletus satanas	Devil’s bolete	Satansröhrling	Bolet Satan	Satansboleet	Βωλίτης ο σατανάς	Boleto de Satanás	Porcino malefico		Ludara	Ludara	Ludara	Дяволска гъба			narrow	5	yes	AL,AM,AT,AZ,BA,BE,BG,CH,CY,CZ,DE,ES,FR,GR,HR,HU,IT,LU,MD,PL,RS,RU,SI,SK,UA
rugiboletus_extremiorientalis	Rugiboletus extremiorientalis															narrow	3	no	JP
russula_adusta	Russula adusta															narrow	3	no	GE
russula_aeruginea	Russula aeruginea								Grönkremla							narrow	4	no	EE,FI,GE,IS,NO,SE
russula_alutacea	Russula alutacea															narrow	3	no	RO
russula_aurea	Russula aurea			Russule dorée					Guldkremla		Zlatna rusula					narrow	3	no	RO
russula_brevipes	Russula brevipes						Blanco									broad	5	no	MX
russula_chloroides	Russula chloroides													Kayışkıran		narrow	3	no	TR
russula_claroflava	Russula claroflava								Gulkremla							narrow	3	no	FI,SE
russula_cyanoxantha	Russula cyanoxantha	Quilted green russula		Russules		Ρούσουλα η κυανόξανθη	Ardillitas			Krasnice	Zeke	Krasnica				broad	5	no	AL,AM,AZ,BA,BY,CA,EE,GR,HU,KG,KZ,LT,LV,MD,PL,RS,RU,SI,SK,UA,US
russula_cyanoxantha__2	Russula cyanoxantha	Charcoal burner	Frauentäubling	Russule charbonnière	Regenboogrussula		Carbonera	Colombina maggiore	Brokkremla				Сиво-виолетова гълъбка			narrow	4	no	AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GB,GE,IT,LU,NL,PT,RO,SE
russula_decolorans	Russula decolorans								Tegelkremla							narrow	4	no	EE,FI,NO
russula_delica	Russula delica					Ρουσσούλα η απογαλακτισμένη								Güz kirmiti		narrow	4	no	AL,AM,AZ,BY,CY,EE,GE,GR,KG,KZ,LT,RU,TR
russula_emetica	Russula emetica		Speitäubling				Rúsula emética	Colombina pepata			Bljuvara		Бясна гъба			narrow	4	yes	BG,CY,DE,IT,LT,PL,RS,SI,UA
russula_foetens	Russula foetens															narrow	4	no	BY,EE,GE,MD,RU
russula_heterophylla	Russula heterophylla		Grüner Speisetäubling													narrow	3	no	AT
russula_nigricans	Russula nigricans															narrow	3	no	KG,RU
russula_olivacea	Russula olivacea							Brunello								narrow	3	no	IT
russula_paludosa	Russula paludosa								Storkremla							narrow	4	no	EE,FI,SE
russula_risigallina	Russula risigallina															narrow	3	no	GE
russula_rosea	Russula rosea															narrow	4	no	GE
russula_subnigricans	Russula subnigricans															mid	5	yes	JP,KR
russula_vesca	Russula vesca		Speisetäubling	Russule vieux-rose					Kantkremla		Krasnice		Кафяво-виолетова гълъбка			narrow	4	no	AT,BG,DK,GE,RO,RS,SE
russula_vinosa	Russula vinosa								Vinkremla							narrow	3	no	FI
russula_virescens	Russula virescens		Grüngefelderter Täubling	Russule verdoyante		Ρουσσούλα η πρασινίζουσα	Palometa	Verdone			Golubače	Golubača	Зелена гълъбка			narrow	5	no	AL,AZ,BA,BG,CH,CZ,ES,FR,GE,GR,IT,LU,RO,RS,SK
russula_xerampelina	Russula xerampelina								Sillkremla							narrow	3	no	DK,FI,IS,SE
sanghuangporus_sanghuang	Sanghuangporus sanghuang															broad	4	no	KR
sarcodon_aspratus	Sarcodon aspratus															mid	5	no	JP,KR
sarcodon_imbricatus	Sarcodon imbricatus		Habichtspilz											Balaban mantarı		narrow	3	no	SI,TR
sarcodon_squamosus	Sarcodon squamosus	Hawk’s wing		Hydne écailleux												mid	4	no	CA,PL
sarcomyxa_edulis	Sarcomyxa edulis															narrow	5	no	JP
sarcoscypha_austriaca	Sarcoscypha austriaca	Scarlet elf cup														mid	3	no	GB
schizophyllum_commune	Schizophyllum commune	Splitgill														narrow	4	no	AU,MX,TM,UZ
scleroderma_citrinum	Scleroderma citrinum	Common earthball	Kartoffelbovist	Scléroderme commun	Gele aardappelbovist		Escleroderma amarilla									narrow	4	yes	AM,AT,BE,DK,GB,KG,LU,NL,PL,PT,SK,TJ,TM,UA,US,UZ
scleroderma_sp	Scleroderma sp.	Earthball	Kartoffelbovist	Scléroderme												broad	5	yes	AU,CA,DE,JP
sparassis_crispa	Sparassis crispa	Cauliflower fungus	Krause Glucke	Sparassis crépu	Grote sponszwam	Σπάραξη η σγουρή	Seta coliflor	Ditola increspata	Blomkålssvamp				Зелчеста гъба	Çam göbeği mantarı		narrow	5	no	AT,BE,CH,CZ,DE,DK,GB,GE,GR,LU,NL,NO,PL,SE,SI,SK,TR
sparassis_latifolia	Sparassis latifolia															narrow	4	no	JP,KR
sparassis_spathulata	Sparassis spathulata	Cauliflower mushroom		Sparassis												broad	4	no	CA,US
stropharia_rugosoannulata	Stropharia rugosoannulata	Wine cap								Slamnatica				Halkalı cücüle mantarı		narrow	3	no	NZ
suillellus_luridus	Suillellus luridus		Netzstieliger Hexenröhrling					Boleto lurido	Eldsopp				Огнена манатарка			narrow	4	no	AM,AT,AZ,BY,CZ,DE,EE,GE,LT,LV,PT,RO,RU,SE,SK,UA
suillus_bovinus	Suillus bovinus		Kuh-Röhrling		Koeienboleet				Örsopp				Кравешка масловка			narrow	4	no	BY,DK,IS,JP,LT,NL,PL,PT,RU
suillus_granulatus	Suillus granulatus		Körnchenröhrling			Σουίλος ο κοκκώδης			Grynsopp		Borovnjača					narrow	5	no	AL,AM,AZ,CY,CZ,DE,GR,HU,KG,MD,RO,RS,SE
suillus_grevillei	Suillus grevillei		Goldröhrling	Bolet élégant	Gele ringboleet			Boleto elegante	Lärksopp				Елегантна масловка			narrow	4	no	AT,CH,CZ,DE,IS,JP,LU,NL,PL,RO
suillus_luteus	Suillus luteus	Slippery Jack	Butterpilz	Nonnette voilée	Bruine ringboleet	Λαρτάς	Boleto anillado	Pinarello	Smörsopp				Масловка	Kaypak mantarı		narrow	5	no	AM,AT,AU,AZ,BE,BG,BY,CH,CY,CZ,DE,DK,EE,ES,FI,FR,IS,JP,LT,LV,NL,NO,NZ,PL,RO,SE,UA
suillus_luteus__2	Suillus luteus	Slippery Jacks		Bolets visqueux			Viejitas	Pinaroli		Slinavke		Osinac				broad	5	no	BA,CA,HR,IT,KG,KR,KZ,MX,RU,SI,SK
suillus_variegatus	Suillus variegatus		Sandröhrling						Sandsopp							narrow	4	no	AT,BY,DK,FI,IS,LT,LV,NO,PL,SE
sutorius_venenatus	Sutorius venenatus															narrow	4	yes	JP
terfezia_boudieri	Terfezia boudieri						Criadilla de tierra							Keme		broad	5	no	AZ,CY,ES,KZ,PT,TJ,TM,TR,UZ
trametes_versicolor	Trametes versicolor	Turkey tail		Tramète versicolore							Ćuranov rep					narrow	4	no	CA,GB,NZ,TJ,UZ
tremella_fuciformis	Tremella fuciformis	White brain														narrow	4	no	AU
tremella_mesenterica	Tremella mesenterica	Yellow brain														narrow	4	no	AU,GB
trichoderma_cornu_damae	Trichoderma cornu-damae															narrow	5	yes	JP,KR
trichoglossum_sp	Trichoglossum sp.	Earth tongue														broad	3	no	NZ
tricholoma_anatolicum	Tricholoma anatolicum					Ήμερο								Sedir mantarı		narrow	5	no	CY,TR
tricholoma_bakamatsutake	Tricholoma bakamatsutake															narrow	4	no	KR
tricholoma_equestre	Tricholoma equestre	Man on horseback	Grünling	Tricholome équestre		Κιτρινοβώλετος	Seta de los caballeros		Riddarmusseron				Лимонка			narrow	4	yes	BG,BY,CA,CY,DE,DK,EE,ES,KZ,LT,LV,NO,PL,PT,RU,UA
